timestamp,Infrared to Red Signal Ratio
01/05/23 00:12:00,0
01/05/23 00:13:00,-1
01/05/23 00:14:00,0
01/05/23 00:15:00,1
01/05/23 00:16:00,14
01/05/23 00:17:00,5
01/05/23 00:18:00,-9
01/05/23 00:19:00,-25
01/05/23 00:20:00,0
01/05/23 00:21:00,-10
01/05/23 00:22:00,29
01/05/23 00:23:00,-3
01/05/23 00:24:00,6
01/05/23 00:25:00,-51
01/05/23 00:26:00,-6
01/05/23 00:27:00,-5
01/05/23 00:28:00,0
01/05/23 00:29:00,0
01/05/23 00:30:00,0
01/05/23 00:31:00,-11
01/05/23 00:32:00,-1
01/05/23 00:33:00,-13
01/05/23 00:34:00,0
01/05/23 00:35:00,4
01/05/23 00:36:00,-1
01/05/23 00:37:00,0
01/05/23 00:38:00,-6
01/05/23 00:39:00,3
01/05/23 00:40:00,-25
01/05/23 00:41:00,0
01/05/23 00:42:00,-4
01/05/23 00:43:00,1
01/05/23 00:44:00,0
01/05/23 00:45:00,6
01/05/23 00:46:00,0
01/05/23 00:47:00,5
01/05/23 00:48:00,-13
01/05/23 00:49:00,-13
01/05/23 00:50:00,0
01/05/23 00:51:00,9
01/05/23 00:52:00,0
01/05/23 00:53:00,-12
01/05/23 00:54:00,-4
01/05/23 00:55:00,0
01/05/23 00:56:00,8
01/05/23 00:57:00,1
01/05/23 00:58:00,-8
01/05/23 00:59:00,0
01/05/23 01:00:00,-9
01/05/23 01:01:00,-4
01/05/23 01:02:00,13
01/05/23 01:03:00,-1
01/05/23 01:04:00,-17
01/05/23 01:05:00,0
01/05/23 01:06:00,10
01/05/23 01:07:00,0
01/05/23 01:08:00,0
01/05/23 01:09:00,-9
01/05/23 01:10:00,-1
01/05/23 01:11:00,-21
01/05/23 01:12:00,37
01/05/23 01:13:00,-8
01/05/23 01:14:00,5
01/05/23 01:15:00,-2
01/05/23 01:16:00,-1
01/05/23 01:17:00,-4
01/05/23 01:18:00,0
01/05/23 01:19:00,-3
01/05/23 01:20:00,1
01/05/23 01:21:00,-13
01/05/23 01:22:00,0
01/05/23 01:23:00,-6
01/05/23 01:24:00,-11
01/05/23 01:25:00,4
01/05/23 01:26:00,-39
01/05/23 01:27:00,10
01/05/23 01:28:00,-15
01/05/23 01:29:00,-1
01/05/23 01:30:00,0
01/05/23 01:31:00,-9
01/05/23 01:32:00,-1
01/05/23 01:33:00,0
01/05/23 01:34:00,-23
01/05/23 01:35:00,-1
01/05/23 01:36:00,0
